business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dr Manu’s,Doctors,Doctor,Doctor,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",N/A,N/A,5.0,,"CQ6F+G5J, Ezholy Rd, PoovanThottumkal, Angadi, Keralam 689675",PoovanThottumkal,9.411336,76.7729061,ChIJ_z75KgA5BjsR8trZYp2FP84,https://www.google.com/maps/place/?q=place_id:ChIJ_z75KgA5BjsR8trZYp2FP84,part_306,2026-09-20 20:16:46,1691
SWAASTHYAM BY DR PRASANTH,Doctors,Diabetologist,"Diabetologist, Diabetes center, Doctor, Medical clinic",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 62384 36238,N/A,5.0,5.0,"RaagaSamanwayam, Puthenpeedika - Santhosh Jct Rd, near AGT Maruti Car Service Centre, Omalloor, Pathanamthitta, Keralam 689647",Omalloor,9.2536898,76.7698252,ChIJa9XC-CsVBjsRBXYGtARnX2M,https://www.google.com/maps/place/?q=place_id:ChIJa9XC-CsVBjsRBXYGtARnX2M,part_306,2026-09-20 20:16:46,1692
"Dr. R. Gopakumar MBBS, DVD SKIN & V. D SPECIALIST",Doctors,Doctor,Doctor,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 468 222 3363,N/A,3.3,,"7Q9J+9QQ, St Marys HS Rd, Chittoor, Pathanamthitta, Keralam 689645",Chittoor,9.2684608,76.7819914,ChIJy6NLmAkVBjsRIy5HBL1koAo,https://www.google.com/maps/place/?q=place_id:ChIJy6NLmAkVBjsRIy5HBL1koAo,part_306,2026-09-20 20:16:46,1693
Dr. Jacob kuruvilla,Doctors,Doctor,Doctor,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 90081 08366,https://book-appointment.healthplix.com/dr-jacob-kuruvilla-paediatrician-thiruvalla--pathanamthitta,4.8,,"P. O, Pullazhyil house kuttoor, Thiruvalla, Keralam 689106",689675,9.3551781,76.5956695,ChIJD-Y5VssjBjsRqXH0tCuMrUM,https://www.google.com/maps/place/?q=place_id:ChIJD-Y5VssjBjsRqXH0tCuMrUM,part_306,2026-09-20 20:16:46,1694
Psychiatrist Dr Derrick Johnson,Doctors,Psychiatrist,Psychiatrist,689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",+91 89214 68774,N/A,5.0,6.0,"Ranni Bypass Rd, Ranni, Angadi, Keralam 689674",689675,9.3841478,76.7806085,ChIJRWJY14w5BjsR_w9M5MdSPVA,https://www.google.com/maps/place/?q=place_id:ChIJRWJY14w5BjsR_w9M5MdSPVA,part_306,2026-09-20 20:16:46,1695
Dr. Mukil Chandran,Doctors,Orthopedic surgeon,"Orthopedic surgeon, Orthopedic clinic, Orthotics & Prosthetics Centre, Pediatric orthopedic surgeon",689675,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Ettichuvadu SO, Valiyakavu BO",N/A,https://drtop.in/dr/MukilC,5.0,,"6V92+5QR Believers Church Medical Centre, Eliyarackal, Konni, Keralam 689691",Eliyarackal,9.2179316,76.8519037,ChIJZeCoaVn9BTsR39TRr9GwSaI,https://www.google.com/maps/place/?q=place_id:ChIJZeCoaVn9BTsR39TRr9GwSaI,part_306,2026-09-20 20:16:47,1696
MITHRA CARE AND LABORATORIES,Doctors,Medical clinic,Medical clinic,689676,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Makkapuzha SO, Ranny Edamon BO, Thombikandam BO",+91 95446 50698,N/A,4.6,,"Asha Building, PO, Mukkada, Manimala, Keralam 686544",689676,9.4635257,76.7997393,ChIJ-XgOFwA5BjsR98goA5ZOkEI,https://www.google.com/maps/place/?q=place_id:ChIJ-XgOFwA5BjsR98goA5ZOkEI,part_306,2026-09-20 20:17:34,6126
Dr Madhu Makkapuzha,Doctors,Hospital,Hospital,689676,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Makkapuzha SO, Ranny Edamon BO, Thombikandam BO",N/A,N/A,4.8,,"CQMX+796, Manthamaruthi, Keralam 689676",689676,9.4331594,76.79838649999999,ChIJOUEenHc5BjsR8To3XuFiP78,https://www.google.com/maps/place/?q=place_id:ChIJOUEenHc5BjsR8To3XuFiP78,part_306,2026-09-20 20:17:34,6127
Dr Sajin K Reji,Doctors,Doctor,Doctor,689678,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Mylapra Town SO, Mannarakulanji BO, Mekozhur BO",+91 88489 68797,N/A,5.0,,"7QVC+2MM, Konnamood - Thonniamala Rd, Pathanamthitta, Keralam 689668",689678,9.291824799999999,76.7726505,ChIJA9nnDgAVBjsR9YxDjtfj3XM,https://www.google.com/maps/place/?q=place_id:ChIJA9nnDgAVBjsR9YxDjtfj3XM,part_306,2026-09-20 20:19:08,7721
"Dr. Vaheeda Rehman, BAMS, MS",Doctors,Alternative medicine practitioner,Alternative medicine practitioner,689678,Kerala Circle,Trivandrum HQ Region,Pathanamthitta Division,"Mylapra Town SO, Mannarakulanji BO, Mekozhur BO",+91 94462 71444,N/A,4.7,,"Mylapra, Pathanamthitta, Keralam 689645",Mylapra,9.2690139,76.7971295,ChIJpys0tRYVBjsRf0T_4XOP1ys,https://www.google.com/maps/place/?q=place_id:ChIJpys0tRYVBjsRf0T_4XOP1ys,part_306,2026-09-20 20:19:08,7722
